featureSelection,numberFeaturesSelection,featureReduction,numberFeaturesReduction,classifier,TP,TN,FP,FN,accuracy,precision,recall,fScore
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30209,75,0,0.9989397644863512,0.9981495188749074,1.0,0.9990739025745509
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30206,78,0,0.9988973550658052,0.9980756420694249,1.0,0.9990368943547192
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30212,72,0,0.9989821739068971,0.9982234066178104,1.0,0.9991109135363414
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30187,97,0,0.9986287620690143,0.9976080094693234,1.0,0.9988025726171812
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30189,95,0,0.9986570350160449,0.9976572133168927,1.0,0.9988272328868588
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30211,73,0,0.9989680374333819,0.9981987761547572,1.0,0.999098576244397
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30209,75,0,0.9989397644863512,0.9981495188749074,1.0,0.9990739025745509
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30209,75,0,0.9989397644863512,0.9981495188749074,1.0,0.9990739025745509
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30199,85,0,0.9987983997511981,0.997903305377405,1.0,0.9989505525032409
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30205,79,0,0.99888321859229,0.9980510188977155,1.0,0.9990245588907135
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30214,70,0,0.9990104468539278,0.998272671190623,1.0,0.9991355890343294
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30206,78,0,0.9988973550658052,0.9980756420694249,1.0,0.9990368943547192
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30213,71,0,0.9989963103804125,0.9982480382964023,1.0,0.9991232511329818
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30195,89,0,0.9987418538571368,0.9978048539857932,1.0,0.9989012210027284
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30223,61,0,0.9991376751155656,0.9984944219567579,1.0,0.9992466438601475
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30208,76,0,0.9989256280128359,0.998124892057931,1.0,0.9990615661966266
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30205,79,0,0.99888321859229,0.9980510188977155,1.0,0.9990245588907135
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30204,80,0,0.9988690821187747,0.9980263969409152,1.0,0.9990122237313248
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30213,71,0,0.9989963103804125,0.9982480382964023,1.0,0.9991232511329818
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30206,78,0,0.9988973550658052,0.9980756420694249,1.0,0.9990368943547192
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30213,71,0,0.9989963103804125,0.9982480382964023,1.0,0.9991232511329818
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30208,76,0,0.9989256280128359,0.998124892057931,1.0,0.9990615661966266
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30208,76,0,0.9989256280128359,0.998124892057931,1.0,0.9990615661966266
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30220,64,0,0.9990952656950197,0.9984204940891928,1.0,0.9992096228418998
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30199,85,0,0.9987983997511981,0.997903305377405,1.0,0.9989505525032409
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30210,74,0,0.9989539009598666,0.9981741469071529,1.0,0.9990862392571372
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30219,65,0,0.9990811292215044,0.998395853899309,1.0,0.9991972831120717
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30207,77,0,0.9989114915393206,0.9981002664561335,1.0,0.9990492301233531
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30217,67,0,0.9990528562744738,0.9983465771679582,1.0,0.9991726045667289
featureSelectionKsTest,50,featureReductionPCA,50,fisherLDA,40455,30194,90,0,0.9987277173836214,0.9977802441731409,1.0,0.9988888888888889
